Jumping,Stamina,Strength,Aggression,Vision,Crossing,Free_Kick,Short_Passing,Long_Passing,Curve,Interceptions,Heading,Marking,Standing_Tackle,Sliding_Tackle,Positioning,Finishing,Shot_Power,Long_Shot,Volleys,Penalties,Agility,Balance,Reactions,Ball_Control,Dribbling,Acceleration,Sprint_Speed,Position,Preferred_Foot,Weak_Foot,Attacking_Work_Rate,Defensive_Work_Rate,Name,Age,Overall_Rating,Club,League,Nation,ref_url,Card_Type
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Striker (ST),Right,4 / 5,High,Med,Erwin Hoffer,33 (04-14-1987),64,FC Admira Wacker Mödling,Österreichische Fußball-Bundesliga,Austria,https://www.fifplay.com/fifa-22/players/159354/erwin-hoffer,Rare bronze
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Centre Back (CB),Right,4 / 5,Med,High,Joey O'Brien,34 (02-17-1986),64,Shamrock Rovers,SSE Airtricity,Ireland Republic,https://www.fifplay.com/fifa-22/players/167925/joey-o-brien,Rare bronze
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Defensive Midfielder (CDM),Right,3 / 5,Med,High,Shaun MacDonald,32 (06-17-1988),64,Rotherham United,EFL Championship,Wales,https://www.fifplay.com/fifa-22/players/170879/shaun-macdonald,Rare bronze
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Striker (ST),Right,4 / 5,Med,Low,Mattia Bottani,29 (05-24-1991),63,FC Lugano,Raiffeisen Super,Switzerland,https://www.fifplay.com/fifa-22/players/176246/mattia-bottani,Rare bronze
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left Midfielder (LM),Right,3 / 5,High,Med,Erling Knudtzon,31 (12-15-1988),65,Molde FK,Tippeligaen,Norway,https://www.fifplay.com/fifa-22/players/182160/erling-knudtzon,Rare silver
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Striker (ST),Right,3 / 5,Med,Med,Xu Yang,33 (02-12-1987),64,Shanghai Greenland Shenhua FC,Chinese Super,China PR,https://www.fifplay.com/fifa-22/players/182427/xu-yang,Rare bronze
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Striker (ST),Right,2 / 5,Med,Med,Fredrik Brustad,31 (06-22-1989),64,Mjondalen IF,Tippeligaen,Norway,https://www.fifplay.com/fifa-22/players/183945/fredrik-brustad,Rare bronze
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Defensive Midfielder (CDM),Right,3 / 5,Med,High,Marvin Bartley,34 (07-04-1986),65,Livingston FC,Scottish Premiership,England,https://www.fifplay.com/fifa-22/players/184013/marvin-bartley,Rare silver
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left Back (LB),Left,3 / 5,Med,Med,Rolf Daniel Vikstøl,31 (02-22-1989),64,Viking FK,Tippeligaen,Norway,https://www.fifplay.com/fifa-22/players/184077/rolf-daniel-vikstol,Rare bronze
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Striker (ST),Right,3 / 5,Med,Low,Martín Galvan,27 (02-14-1993),64,FC Juarez,LIGA Bancomer MX,Mexico,https://www.fifplay.com/fifa-22/players/186514/martin-galvan,Rare bronze
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left Back (LB),Left,2 / 5,High,Low,Brek Shea,30 (02-28-1990),64,,MLS,United States,https://www.fifplay.com/fifa-22/players/186536/brek-shea,Rare bronze
